"gene_name"	"9bc8ff9e-2f36-5094-ac12-b1bf81b53c15"	"396932ab-c4b3-4526-9201-9222f5f062a5"	"53891f08-a221-4ca8-a502-cf990bdb6020"	"Quant.seq.sample2"	"Quant.seq.sample1"	"RNA.seq.sample2"	"RNA.seq.sample1"
"ZNF529"	"4.6489"	"5.8569"	"24.2492"	1.14038574236863	0.958740141774959	1.86930660426129	1.81791573550547
"ZNF530"	"2.9774"	"5.0742"	"2.829"	2.46611588881346	2.57025995764636	3.10244649548599	2.92588384233008
"ZNF532"	"29.7618"	"39.0882"	"0.498"	1.80664232024372	1.93966850528931	3.41845190145331	3.18289674418684
"ZNF534"	"0.2399"	"0.0999"	"0.3798"	0.133055114776278	0.292447342533352	0.0232446503887123	0.072010446816358
"ZNF536"	"7.3977"	"0.2811"	"0.0288"	0.180841784012908	0.118608610823788	0.000744415285394809	0.00150753615104828
"ZNF540"	"0.5977"	"0.9179"	"1.1927"	0.341794307533251	0.200668502822678	0.0565135872068563	0.115861451379836
"ZNF541"	"1.7459"	"0.2414"	"0.1873"	0.0888644337858552	0.0420202336133959	1.24532981731542	1.06448351102376
"ZNF543"	"2.4156"	"10.6317"	"9.8561"	1.51086688034887	1.64429787224798	3.14830505307143	3.06381694662057
"ZNF546"	"0.9873"	"1.8409"	"3.4766"	1.20271987603833	1.01775961672041	1.36986803815322	1.36265631894181
"ZNF549"	"3.155"	"6.8212"	"4.8591"	1.0252257336794	1.28971027450301	2.15578542396763	2.13649629284386
"ZNF550"	"3.264"	"12.9116"	"10.0385"	1.39757761078074	1.06924653586284	2.00089585400634	1.98120796781048
"ZNF552"	"2.222"	"7.8782"	"44.2535"	2.00972576278748	1.89623740798719	2.67935091765839	2.60177515577497
"ZNF554"	"4.885"	"5.474"	"5.5743"	1.08699673447722	0.985975801049955	2.32671500210695	2.18997066403322
"ZNF555"	"3.4682"	"4.3735"	"5.0596"	0.997873100170872	1.13780699808053	1.74840269817977	1.75282207179005
"ZNF557"	"3.7481"	"8.9013"	"18.1669"	1.29130698299663	1.39356689471164	3.44844127515821	3.3927154388569
"ZNF558"	"3.4015"	"14.2852"	"8.6896"	1.0610312180161	0.756310899831929	2.07781462257514	2.2039067588534
"ZNF560"	"0.2624"	"0.0469"	"0.0416"	0.0493594207676925	0.0905334536103796	0.0112120427890163	0.0151206900784803
"ZNF561"	"6.7927"	"16.1447"	"10.1554"	2.69588597336646	2.27934481544112	3.586106962467	3.53222150690144
"ZNF562"	"4.3755"	"11.9285"	"22.9553"	1.45000833520293	1.73073902559312	4.22296816574988	4.03132974323883
"ZNF563"	"1.5041"	"2.4008"	"1.0937"	0.812782789182066	0.0894877729594199	0.0110789954255265	0.0443681322189846
"ZNF565"	"3.3207"	"3.6705"	"9.8988"	0.85072041493009	0.693737458262677	1.09834883100686	0.825222802247502
"ZNF566"	"2.1979"	"4.269"	"3.0172"	1.66471304526405	1.89363937368602	1.80264694652151	1.59283931214033
"ZNF567"	"2.5714"	"5.5992"	"7.1978"	1.574698123864	1.29397150760051	1.94670988429887	1.80270595309702
"ZNF568"	"2.1021"	"2.7582"	"1.2802"	1.30944774042394	0.749707451152906	0.727020301185585	0.62862585099918
"ZNF569"	"2.0732"	"7.0652"	"5.9842"	1.91386710006012	1.59502633191895	0.8765355307341	0.916417161538167
"ZNF57"	"0.3008"	"0.564"	"3.0012"	0.868887738380965	1.08645706647723	1.62295906044738	1.49475150028851
"ZNF570"	"2.9801"	"5.1417"	"10.7482"	0.861708860572281	1.0780583721752	0.882853913728466	0.764115121317492
"ZNF571"	"0.9291"	"2.9486"	"5.1562"	0.291029665306069	0.47498820243919	1.26437305648291	1.27261700759787
"ZNF573"	"0.5591"	"1.6673"	"2.9484"	0.921666790410358	0.620700657777315	1.40933370689959	1.27513585832794
"ZNF574"	"46.1748"	"25.5182"	"11.124"	3.58796633817626	3.20006212683931	3.79465877435014	3.76245532228284
"ZNF575"	"7.9198"	"3.3273"	"8.9683"	2.08986726219206	1.41239082119341	0.790855613433931	0.547128034579375
"ZNF577"	"3.6422"	"3.6467"	"10.5645"	1.18363646379684	1.14569593369803	1.75086662122685	1.77400375943207
"ZNF578"	"2.9806"	"0.1996"	"0.1465"	0.0272576265023899	0.0503139692203001	0.0544713312172723	0.0370047047927667
"ZNF579"	"24.2427"	"15.7225"	"4.8395"	5.30179689473072	5.00280976053672	4.32315990605082	4.31305261517765
"ZNF582"	"0.9652"	"0.5869"	"1.2641"	1.60540183329068	1.04898193544829	0.030299914354095	0.0137182386294674
